time;x;y;yaw;x_gt;y_gt;yaw_gt;error_x;error_y;error_yaw;RMS
0.5;-249.879967266;299.7476058952;-0.999928482;-249.9999999889;299.9999999839;-1.0000000438;0.1200327229;0.2523940887;7.15618032595122E-05;0.2794828004
1;-249.9083051284;299.6823476455;-1.0000993493;-249.9999999909;300.0000000367;-1.000000652;0.0916948626;0.3176523912;9.8697293888339E-05;0.3306221396
1.5;-249.9382562782;299.7075839729;-0.999723251;-250.0000001391;300.0000003327;-1.00000049;0.061743861;0.2924163597;0.000277239;0.2988640304
2;-249.8900997393;299.6915114608;-1.0000551595;-250.0000004917;300.0000008249;-0.9999995083;0.1099007524;0.308489364;5.565114592887E-05;0.3274810929
2.5;-249.8514878382;299.6266615647;-1.000105883;-250.0000010391;300.000001367;-0.9999987672;0.148513201;0.3733398023;0.0001071158;0.4017944628
3;-249.8825212864;299.5556480127;-0.9998940143;-250.0000017429;300.0000017719;-0.9999984717;0.1174804565;0.4443537593;0.0001044574;0.4596215095
3.5;-249.8892346446;299.5810284038;-1.0000706535;-250.000002577;300.0000018758;-0.9999992188;0.1107679324;0.418973472;7.14346595310777E-05;0.4333685616
4;-249.8884073438;299.5755864724;-1.0000584779;-250.0000035361;300.0000015516;-1.0000010183;0.1115961924;0.4244150791;5.74596413387418E-05;0.4388415122
4.5;-249.8800914296;299.4793882228;-1.000337979;-250.0000046355;300.000000711;-1.0000030237;0.1199132059;0.5206124882;0.0003349553;0.5342440004
5;-249.8602091714;299.558080215;-1.00007782;-250.0000059088;299.9999993029;-1.0000053339;0.1397967374;0.4419190879;7.24861631846707E-05;0.4635036281
5.5;-249.8901332942;299.5597119014;-1.0000062857;-250.0000073981;299.9999972992;-1.0000078972;0.1098741039;0.4402853978;1.61152568356471E-06;0.4537880014
6;-249.876771435;299.5172305259;-1.0000124588;-250.0000091481;299.9999946871;-1.0000106679;0.1232377132;0.4827641612;0.000001791;0.4982456917
6.5;-249.9536060268;299.541799066;-0.9999393153;-250.0000112025;299.9999914633;-1.0000136082;0.0464051757;0.4581923973;7.42928387923447E-05;0.4605363382
7;-250.0010130367;299.5248092011;-0.9998947326;-250.0000136015;299.9999876316;-1.000016686;0.0009994352;0.4751784305;0.0001219534;0.4751794972
7.5;-250.0711036923;299.4488785875;-1.0000165229;-250.0000163811;299.9999832013;-1.0000198719;0.0710873111;0.5511046138;3.34905177012956E-06;0.5556704969
8;-250.0810666541;299.404327904;-0.9999735505;-250.0000195731;299.9999781869;-1.0000231382;0.081047081;0.5956502828;4.95876642671034E-05;0.6011388286
8.5;-250.1650617943;299.3623788671;-1.000076595;-250.0000232042;299.9999726078;-1.0000264577;0.1650385901;0.6375937407;5.01372903647379E-05;0.6586072554
9;-250.2129696319;299.3675593232;-1.000089719;-250.0000272971;299.999966488;-1.000029804;0.2129423348;0.6324071648;0.000059915;0.6672954845
9.5;-250.2891542894;299.2797450785;-1.0001379952;-250.0000318698;299.9999598561;-1.0000331513;0.2891224196;0.7202147776;0.0001048439;0.7760806082
10;-250.346264286;299.2688349498;-1.0000637777;-250.0000369358;299.9999527444;-1.0000364747;0.3462273503;0.7311177946;0.000027303;0.8089540212
10.5;-250.3124897973;299.320367203;-0.99994637;-250.0000425043;299.9999451887;-1.0000397501;0.312447293;0.6795779858;0.00009338;0.7479636076
11;-250.3804440588;299.2596071701;-1.0000105689;-250.00004858;299.9999372276;-1.0000429546;0.3803954789;0.7403300575;3.23856544819367E-05;0.8323396635
11.5;-250.453102681;299.3456570421;-1.000035541;-250.0000551631;299.9999289018;-1.0000460664;0.4530475179;0.6542718598;1.05253508237979E-05;0.7958163859
