time;x;y;yaw;x_gt;y_gt;yaw_gt;error_x;error_y;error_yaw;RMS
1.5;-249.9999998724;300.2083334711;-0.999827053;-250.0000001173;300.0000002495;-1.0000008612;2.44841544372321E-07;0.2083332216;0.0001738082;0.2083332941
2;-249.9999998724;300.2083334711;-0.999827053;-250.0000004367;300.0000007002;-0.9999998955;5.64226070309815E-07;0.2083327709;0.0001728424;0.2083328426
2.5;-250.0000011192;300.375000873;-1.0000186753;-250.000000957;300.0000012368;-0.9999990136;1.62159665251238E-07;0.3749996363;1.96617009571298E-05;0.3749996368
3;-250.0000011192;300.375000873;-1.0000186753;-250.0000016421;300.0000016755;-0.999998561;5.22910710287761E-07;0.3749991976;2.0114316385933E-05;0.3749991981
3.5;-250.0000037754;300.5416675978;-1.0000401089;-250.0000023729;300.0000018428;-0.9999988125;1.40256017289175E-06;0.5416657549;4.12963631967189E-05;0.5416657565
4;-250.0000037754;300.5416675978;-1.0000401089;-250.0000034057;300.0000016117;-1.0000006754;3.69786249621029E-07;0.5416659861;3.9433409952272E-05;0.5416659875
4.5;-250.0000076745;300.7083326032;-1.0001170612;-250.0000044844;300.0000008768;-1.0000026057;3.19007298799079E-06;0.7083317264;0.0001144555;0.7083317356
5;-250.0000076745;300.7083326032;-1.0001170612;-250.0000057284;299.999999583;-1.000004852;1.94608179526767E-06;0.7083330201;0.0001122093;0.708333029
5.5;-250.0000128221;300.8749954218;-1.0000028782;-250.0000071784;299.9999976986;-1.0000073655;5.64375446288068E-06;0.8749977232;4.48725381030357E-06;0.8749977233
6;-250.0000128221;300.8749954218;-1.0000028782;-250.0000088784;299.9999952068;-1.0000100964;3.94373557810468E-06;0.875000215;7.21820445570565E-06;0.875000215
6.5;-250.0000193048;301.041655925;-1.0000301274;-250.0000106588;299.9999924412;-1.0000127068;8.64593397409408E-06;1.0416634838;1.74205752687673E-05;1.041663484
7;-250.0000193048;301.041655925;-1.0000301274;-250.0000132026;299.9999883911;-1.0000160565;6.10217384178213E-06;1.0416675339;1.40709288540819E-05;1.041667534
7.5;-250.0000271881;301.2083141197;-1.0000940027;-250.0000159051;299.9999840785;-1.000019222;0.000011283;1.2083300412;7.47807655387955E-05;1.2083300436
8;-250.0000271881;301.2083141197;-1.0000940027;-250.0000186831;299.9999796949;-1.0000221448;0.000008505;1.2083344248;7.18578884950638E-05;1.208334427
8.5;-250.0000364908;301.3749700782;-1.0000168859;-250.000022554;299.9999737113;-1.0000257824;1.39367836595738E-05;1.3749963669;8.89653900371101E-06;1.374996367
9;-250.0000364908;301.3749700782;-1.0000168859;-250.0000265517;299.9999676984;-1.0000291237;9.9390989589665E-06;1.3750023799;1.22377877129765E-05;1.37500238
9.5;-250.0000471962;301.5416239331;-1.0000009329;-250.0000305558;299.9999618433;-1.0000321366;1.66404271908505E-05;1.5416620898;3.12036663256965E-05;1.5416620902
10;-250.0000471962;301.5416239331;-1.0000009329;-250.0000359884;299.9999541512;-1.0000357988;1.12078035385821E-05;1.5416697818;3.48658917841416E-05;1.5416697823
10.5;-250.000059259;301.7082758701;-0.9999405038;-250.0000414521;299.9999466837;-1.0000390834;1.78069317939844E-05;1.7083291864;9.85795720791494E-05;1.7083291894
11;-250.000059259;301.7082758701;-0.9999405038;-250.0000468018;299.9999396088;-1.0000419833;1.24572387392163E-05;1.7083362614;0.0001014795;1.7083362644
11.5;-250.0000726121;301.8749261222;-1.000073595;-250.0000538981;299.9999305502;-1.000045431;1.87140910838934E-05;1.8749955719;2.81640502435287E-05;1.8749955722
12;-250.0000726121;301.8749261222;-1.000073595;-250.0000608785;299.9999219667;-1.0000484511;1.1733636910094E-05;1.8750041554;2.51439262846098E-05;1.8750041556
